reviewer name,review,number of stars
Lawdragon,"By far the Best Dry Shampoo I have ever used. Does not leave the hair feeling heavy. It really dries out the oils quickly. I use a slightly spritzed towel at the end to shine up the hair. All other brands make me feel like I have dirty hair. This Dry Shampoo is just so above the rest that the others should just stop making theirs. Only problem I have is getting it at Wal-Mart. I have only seen it there once and once in clearance. I have long dark blond (brownish) hair. After use you can still see the natural highlights and color changes in my natural hair color. The others just make it ugly and you feel like you have a hat on your head. This product is lite and easy to use. I have sensitive scalp and I can use this product without breakouts...",5
NoNickNames,"I hated the fragrance. It smells more like a chemical that has been disguised with a touch of lemon, but the chemical is so strong that you can't really smell anything good. It actually makes me a bit queasy so I haven't even tried to use it since the first time. However, I love the smell of the tapioca clean freak warm sugar by NYM and I have used a couple other varieties of their dry shampoos and they always have had a pleasant scent. I have been a fan of Not Your Mother's products for years and will continue to purchase other NYM items. But this one is anything but refreshing and I hope to never have to smell it or anything like it ever again. I can't really say how it worked as far as anything else because I couldn't stand it lon...",1
jennifera437,"[This review was collected as part of a promotion.] I absolutely loved this dry shampoo!!!! It made my hair feel like it was shower fresh!!! It Smells good and it did not leave a white residue ￼on hair when sprayed!!! I definitely recommend this dry shampoo!!",5
goldy_mel,"[This review was collected as part of a promotion.] I've never used dry shampoo before and I don't know what took me so long! This dry shampoo smells so fresh but the smell doesn't linger which is a plus. I applied it with ease and could tell a difference right away. I'm very impressed and will be trying the other scents!",5
jessmurrrrr,"[This review was collected as part of a promotion.] @Not Your Mother's Dry Shampoo I received this product from @influenster in exchange for a free review I'll definitely be trying this out love the new product because no one likes dry residue left on there scalp",5
Lawdragon,"[This review was collected as part of a promotion.] I love this brand but haven't used the dry shampoo yet. I like this dry shampoo. It took out a little frizz. I have curls so it's hard to get my hair the way it was on wash day but this helps in between",5
Saleigh,"By far the Best Dry Shampoo I have ever used. Does not leave the hair feeling heavy. It really dries out the oils quickly. I use a slightly spritzed towel at the end to shine up the hair. All other brands make me feel like I have dirty hair. This Dry Shampoo is just so above the rest that the others should just stop making theirs. Only problem I have is getting it at Wal-Mart. I have only seen it there once and once in clearance. I have long dark blond (brownish) hair. After use you can still see the natural highlights and color changes in my natural hair color. The others just make it ugly and you feel like you have a hat on your head. This product is lite and easy to use. I have sensitive scalp and I can use this product without breakouts...",5
AR,"Best dry shampoo I've found yet, smells amazingly fresh and clean, only takes a few sprays to get rid of oily shine, and keeps you from having to wash your hair every day. I have super long hair and I found that daily washes became really drying and damaging as opposed to every other day (when activity is minimal, that is), and Not Your Mother's dry shampoo does a great job of keeping my hair oil-free and clean smelling.",5
XC,"Not Your Mother's is, hands down, the ONLY dry shampoo that could truly replace ever washing your hair. My hair can be a royal pain in the... head to wash. It takes FOREVER, mainly to dry %26 style after washing. I could easily spend 45 minutes with a blow-dryer, it looks ok but still isn't fully dry -- and then leave my house only to have my hair look like Medusa's 2 hours later. This stuff is life changing. I could LITERALLY go 2 weeks between washing my hair if I needed to, if I used this daily. (I promise I do not usually wait that long, but I HAVE, and nobody could tell it had been that long since I'd actually washed my hair) 😜",5
jesslpz,"Great price and nice smelling. No white residue on dark hair.",5
muamommav,"[This review was collected as part of a promotion.] I was so exited when I received this product from Influenster. I liked this product. It really does the job. I can see the difference in my oily hair when I apply the product. I have a very oily hair and scalp and this product reduces the shine significantly after applying it (you can see the difference in my before and after photo). The only thing I notice is that it leaves a kind of white layer, but not a big deal for me. In person, you can barely see it. I see myself using it in the future, specially when I do not have time to wash my hair or when I'm on a hurry. I do recommend it for these cases.",4
alicem105,"[This review was collected as part of a promotion.] Refreshing is the name! One if my favorite hair products to use from them is the dry shampoos! It doesn't leave my hair with white residue, and the smells are my fav scents! I don't like to wash my hair everyday, because it strips it, and can damage my hair, so this product helps with it.definitely recommend this product for them skip hair wash days!",4
knreinhardt,"[This review was collected as part of a promotion.] I've used Not Your Mother's dry shampoo before and I liked it a lot. I think it's great considering the price point. Super affordable and can be found in drugstores. I tried this citrus scent one and I couldn't tell it's citrus scented though. It smelled like regular dry shampoo to me. But it was still easy to use and great for those lazy hair days when you don't want to wash your hair. Just make sure to let it sit for a bit and then rub it in your hair well to diffuse it. It didn't leave a white cast or residue on my hair either so that's good.",4
millib7,"[This review was collected as part of a promotion.] I received this product for free from Influenster in exchange for my honest review. Im always hesitant to use dry shampoo because it always leaves white streaks. This product does not leave white residue and smells great!",5
